City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Bandarbeyla,SO,78.4,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
255,Pinheiro Machado,BR,73.0,clear sky,-31.58,-53.38,Hotel Chanceller
260,Geelong,AU,64.99,scattered clouds,-38.15,144.36,Admiralty Inn
264,Lebowakgomo,ZA,64.4,broken clouds,-24.2,29.5,
267,Ulladulla,AU,66.2,overcast clouds,-35.35,150.47,Sandpiper Motel
271,Pisco,PE,78.01,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
272,Lata,PT,64.4,clear sky,40.16,-8.33,Casa Maquia
276,Tura,IN,68.13,clear sky,25.52,90.22,Hotel RIKMAN Continental
281,Imbituba,BR,77.0,scattered clouds,-28.24,-48.67,Praia Hotel Imbituba
282,Rocha,UY,79.59,clear sky,-34.48,-54.33,Beleza Pura B&B
285,Emilio Carranza,MX,74.86,few clouds,19.97,-96.61,hotel delicias
288,Antsohihy,MG,76.77,overcast clouds,-14.88,47.99,Hotel de Ville
293,Cidreira,BR,71.91,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
296,Vila,PT,66.0,clear sky,42.03,-8.16,Hotel Castrum Villae
300,Mandal,IN,64.98,clear sky,25.45,74.57,Rambhakt Bhojnalay
305,Iquique,CL,78.8,overcast clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
308,Srandakan,ID,76.17,scattered clouds,-7.94,110.25,Puri Brata
332,Maralal,KE,69.46,few clouds,1.1,36.7,Ngari Hill Ecolodge
333,Teknaf,BD,60.57,clear sky,20.86,92.31,Magnum Engineering & Construction
334,Sechura,PE,75.51,scattered clouds,-5.56,-80.82,Hospedaje Costa Bella
342,Saint-Pierre,RE,77.0,clear sky,-21.34,55.48,Lindsey Hôtel
343,Peniche,PT,71.01,clear sky,39.36,-9.38,Hotel Star inn Peniche
347,Los Llanos De Aridane,ES,73.4,haze,28.66,-17.92,Valle Aridane
349,Yulara,AU,77.0,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
351,Isangel,VU,69.8,few clouds,-19.55,169.27,Volcano Sea View Tree House
355,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
357,Alfredo Chaves,BR,78.8,overcast clouds,-20.64,-40.75,Pousada do Zeze
358,Lagoa,PT,60.24,few clouds,39.05,-27.98,Casa Das Faias
365,Kirya,TZ,79.38,broken clouds,-3.92,37.48,
370,Rambha,IN,68.81,clear sky,19.52,85.1,Dhoba Mantri
375,Sundumbili,ZA,66.2,broken clouds,-29.13,31.4,The Plover Bed and Breakfast
376,Keti Bandar,PK,73.2,clear sky,24.14,67.45,Haji laloo memon house
380,Biltine,TD,77.99,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
383,Vao,NC,77.65,broken clouds,-22.67,167.48,Hotel Kou-Bugny
387,Airai,TL,66.96,broken clouds,-8.93,125.41,Juvinal Martin
393,Vallenar,CL,74.7,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
394,Chicama,PE,73.4,haze,-7.84,-79.15,Hospedaje Punta Cana PERU
402,Luganville,VU,78.8,scattered clouds,-15.53,167.17,The Espiritu Hotel
408,Clarence Town,AU,70.0,overcast clouds,-32.58,151.78,River Downs Cottage
410,Cockburn Town,TC,73.96,few clouds,21.46,-71.14,Osprey Beach Hotel
413,Voh,NC,76.87,overcast clouds,-20.97,164.7,Le gîte du Koniambo
420,Kununurra,AU,78.8,few clouds,-15.77,128.73,Hotel Kununurra
422,Santa Cruz De Tenerife,ES,73.99,haze,28.47,-16.25,Hotel Silken Atlántida
425,Avera,US,61.0,clear sky,33.19,-82.53,
428,Swellendam,ZA,66.2,clear sky,-34.02,20.44,De Kloof Luxury Estate boutique Hotel & SPA
430,Vila Velha,BR,78.8,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
435,Srisailam,IN,67.59,overcast clouds,16.08,78.87,Vasavi Satram
437,Dalbandin,PK,67.59,clear sky,28.89,64.41,Gidaan Guest House
438,Buraydah,SA,73.4,overcast clouds,26.33,43.98,Mövenpick Hotel Qassim
445,Pimentel,PE,66.2,shower rain,-6.84,-79.93,Casona Del Muelle
457,Mmabatho,ZA,73.4,broken clouds,-25.85,25.63,Mahikeng Guest Apartments
462,Pipar,IN,68.49,clear sky,26.39,73.54,मा अम्बे ज्वेलर्स
481,Atambua,ID,75.07,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
483,Suba,PH,79.29,clear sky,10.84,121.01,Suba Pensione House
490,Lompoc,US,62.01,overcast clouds,34.64,-120.46,Holiday Inn Express Lompoc
491,Yangjiang,CN,63.45,few clouds,21.85,111.97,HUALUXE Yangjiang City Center
493,Saint-Paul,RE,77.0,overcast clouds,-21.01,55.27,Boucan Canot
499,Hua Hin,TH,75.09,few clouds,12.57,99.96,InterContinental Hua Hin Resort
501,Nouadhibou,MR,64.4,overcast clouds,20.93,-17.03,El Medina
506,Kant,IN,63.77,scattered clouds,27.8,79.8,Haseeb Khan shatreng
508,Jiran,IN,65.25,clear sky,24.32,74.88,Mukesh Tee Stall
512,Sao Joao Da Barra,BR,78.8,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
515,Kimberley,ZA,71.6,clear sky,-28.73,24.76,Welgewandel Guesthouse
518,Aswan,EG,62.73,overcast clouds,24.09,32.91,Nuba Nile
525,Bubaque,GW,79.77,overcast clouds,11.28,-15.83,Casa Dora
528,Mackay,AU,78.01,broken clouds,-21.15,149.2,International Lodge Motel
539,Inhambane,MZ,77.0,moderate rain,-23.86,35.38,MHL Turismo SA
542,Mildura,AU,73.4,few clouds,-34.2,142.15,Mercure Hotel Mildura
549,Denpasar,ID,78.8,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
